Product,Variant,SKU,Barcode,Supplier Code,Weight,Retail Price,In Stock,Qty Ordered
Redington Behemoth Fly Reel,O.D Green / 11/12,5-5506R1112R,608896007808,,0.0,149.99,0,20
Redington Behemoth Fly Reel,Reel Bronze / 11/12,5-5506R1112Z,608895003177,,0.0,149.99,0,20
Redington Behemoth Fly Reel,Black / 7/8,5-5506R78B,608895999135,,0.0,129.99,0,15
Redington Behemoth Fly Reel,Gunmetal / 7/8,5-5506R78G,608895999173,,0.0,129.99,0,20
Redington Behemoth Fly Reel,Reel Bronze / 7/8,5-5506R78Z,608895003207,,0.0,129.99,0,10
Redington Behemoth Fly Reel,Gunmetal / 9/10,5-5506R910G,608895999180,,0.0,129.99,0,20
Redington Behemoth Fly Reel,O.D Green / 9/10,5-5506R910R,608896007846,,0.0,149.99,0,20
Redington Behemoth Fly Reel,Reel Bronze / 9/10,5-5506R910Z,608895003214,,0.0,149.99,0,20
Redington Zero Fly Reel,Reel Burgundy / 2/3,5-5507R23G,608895003276,,0.0,109.99,0,15
Redington Zero Fly Reel,Reel New Black / 2/3,5-5507R23NB,608895005010,,0.0,109.99,0,3
Redington Zero Fly Reel,Reel Gray / 2/3,5-5507R23Y,608895005027,,0.0,109.99,0,3
Redington Zero Fly Reel,Reel New Black / 4/5,5-5507R45NB,608895005034,,0.0,109.99,0,3
Redington Zero Fly Reel,Reel Gray / 4/5,5-5507R45Y,608895005041,,0.0,109.99,0,3
Redington Grande Fly Reel,Black / 7/8/9,5-5509R78901,608896008034,,0.0,329.99,0,5
Redington Grande Fly Reel,Marine / 7/8/9,5-5509R78903,608896008058,,0.0,329.99,0,5
Redington Grande Fly Reel,Black / 9/10/11,5-5509R9101101,608896008065,,0.0,379.99,0,5
Redington Run Fly Reel,Black / 3/4,5-5512R3401,608895001791,,0.0,119.99,0,12
Redington Run Fly Reel,Black / 5/6,5-5512R5601,608895001807,,0.0,119.99,0,20
Redington Run Fly Reel,Sand / 5/6,5-5512R5602,608895001838,,0.0,119.99,0,20
Redington Run Fly Reel,Bergundy / 5/6,5-5512R5603,608895001869,,0.0,119.99,0,4
Redington Run Fly Reel,Reel Coyote / 5/6,5-5512R5604,608895003320,,0.0,119.99,0,3
Redington Run Fly Reel,Black / 7/8,5-5512R7801,608895001814,,0.0,119.99,0,20
Redington Run Fly Reel,Sand / 7/8,5-5512R7802,608895001845,,0.0,119.99,0,12
Redington Run Fly Reel,Reel Coyote / 7/8,5-5512R7804,608895003337,,0.0,119.99,0,3
Rio Premier Gold Fly Line,Moss/Gold / WF3F,6-19230,730884192309,,0.0,99.99,0,4
Rio Premier Gold Fly Line,Moss/Gold / WF4F,6-19231,730884192316,,0.0,99.99,0,20
Rio Premier Gold Fly Line,Moss/Gold / WF5F,6-19232,730884192323,,0.0,99.99,0,20
Rio Premier Gold Fly Line,Moss/Gold / WF6F,6-19233,730884192330,,0.0,99.99,0,20
Rio Premier Gold Fly Line,Moss/Gold / WF8F,6-19235,730884192354,,0.0,99.99,0,12
Rio Premier Gold Fly Line,Lumalux / WF5F,6-19240,730884192408,,0.0,99.99,0,5
Rio Premier Gold Fly Line,Orange / WF6F,6-19244,730884192446,,0.0,99.99,0,5
Rio Elite Gold Fly Line,WF8F,6-19272,730884192729,,0.0,129.99,0,4
Rio Premier Gold Fly Line,Moss/Gold / WF2F,6-19294,730884192941,,0.0,99.99,0,4
Rio Avid Trout - Gold Fly Line,WF3F,6-19695,730884196956,,0.0,69.99,0,20
Rio Avid Trout - Gold Fly Line,WF4F,6-19696,730884196963,,0.0,69.99,0,20
Rio Avid Trout - Gold Fly Line,WF5F,6-19697,730884196970,,0.0,69.99,0,20
Rio Avid Trout - Gold Fly Line,WF6F,6-19698,730884196987,,0.0,69.99,0,10
Rio Avid Trout - Grand Fly Line,WF5F,6-19699,730884196994,,0.0,69.99,0,5
